year,nuts2,nuts3,objective_inequality_index,income_gap,access_to_services,poverty_risk_rate,perceived_injustice,perceived_unfairness,life_satisfaction,economic_optimism,civic_participation,voter_turnout,protest_activity,associational_membership,democratic_trust,institutional_trust,political_efficacy,corruption_perception,media_access_index,local_media_presence,digital_literacy,internet_coverage
2017,AT31,AT315,34.3,2.1,28.8,29.6,50.7,40.1,80.9,7.0,55.2,90.9,,19.5,52.9,60.1,40.8,42.3,23.1,21.2,,25.1
2018,AT31,AT315,34.5,3.3,27.8,28.1,50.6,40.6,80.8,8.0,57.1,87.1,66.2,18.0,60.0,62.6,,42.7,26.7,17.8,35.6,
2019,AT31,AT315,14.2,0.0,,28.3,49.7,41.7,81.8,10.7,76.5,87.0,65.9,,64.3,64.3,,,28.4,,34.0,22.8
2020,AT31,AT315,39.5,2.8,23.7,,47.2,37.8,84.9,11.3,62.3,,62.3,,55.9,65.7,47.5,45.6,29.7,,37.5,21.9
2021,AT31,AT315,40.0,4.1,24.1,,52.2,,85.2,10.4,49.8,84.5,,15.0,56.3,66.0,47.1,44.3,,,,
2022,AT31,AT315,52.8,,22.4,28.1,52.4,,83.9,11.2,87.9,87.9,,,55.4,69.8,43.3,46.8,29.6,18.4,40.9,
2023,AT31,AT315,42.9,5.2,19.5,,45.2,36.0,86.2,14.1,53.9,89.8,62.3,9.6,55.8,71.8,43.1,47.5,29.1,18.4,39.7,
2024,AT31,AT315,38.8,8.6,21.1,28.8,24.5,34.5,85.5,,50.2,90.0,,10.5,54.5,71.5,41.9,49.8,26.2,19.7,36.4,22.5
2025,AT31,AT315,38.5,5.0,19.3,29.9,43.2,34.6,87.4,17.7,35.3,,61.4,9.2,53.6,68.6,41.6,49.3,26.2,,32.5,20.0
2026,AT31,AT315,55.1,,19.5,29.8,42.3,33.2,90.1,16.2,54.2,89.3,64.5,8.7,52.8,71.1,39.0,51.6,24.8,18.9,36.4,19.1
2016,AT32,AT321,50.6,99.0,97.8,,91.6,,8.4,,60.6,39.1,65.7,77.0,20.4,10.3,,69.6,28.9,,45.6,12.1
2017,AT32,AT321,49.9,95.7,,4.0,71.8,60.7,5.6,39.6,72.0,,68.4,75.6,5.4,6.9,3.9,,22.1,1.2,43.0,
2018,AT32,AT321,3.1,,99.9,6.2,75.8,,9.1,39.4,72.5,,72.0,72.9,13.4,7.5,6.4,73.8,18.6,3.7,43.7,8.5
2019,AT32,AT321,51.0,96.1,,6.0,71.5,57.4,6.3,36.6,73.1,,73.1,,16.4,5.5,,72.7,25.6,5.0,46.2,
2020,AT32,AT321,35.0,95.7,96.7,6.1,60.3,60.2,,39.6,64.1,45.9,74.8,71.7,14.2,5.1,6.8,69.4,43.1,,43.1,
2021,AT32,AT321,49.9,98.0,98.2,,61.3,58.4,,35.7,57.6,43.5,71.8,,16.0,8.3,10.3,70.5,6.1,6.1,,
2022,AT32,AT321,37.1,98.8,95.3,7.8,68.0,55.5,12.4,39.1,62.1,42.2,74.7,69.5,14.1,5.5,9.2,72.4,29.4,,45.5,13.4
2023,AT32,AT321,98.2,98.2,,,68.2,53.7,10.3,38.7,68.8,,71.7,66.0,18.6,6.6,,69.5,26.5,,43.3,9.7
2024,AT32,AT321,47.8,95.6,100.0,,68.9,56.6,9.8,40.1,71.3,,73.0,69.6,10.1,10.1,,,26.1,,45.7,6.5
2025,AT32,AT321,36.3,95.7,100.0,13.3,70.9,52.7,10.9,,72.0,,76.2,67.7,11.2,11.4,11.0,,21.6,10.3,45.1,9.3
2026,AT32,AT321,35.9,96.1,100.0,11.6,65.2,49.6,8.6,45.3,62.3,42.9,76.7,67.2,20.0,9.5,,69.5,21.5,6.6,47.6,10.2
2016,AT32,AT322,73.8,69.2,,78.5,30.0,45.5,85.5,,64.9,,94.5,35.3,61.0,89.8,64.5,71.2,27.2,40.5,13.9,
2017,AT32,AT322,71.3,66.8,24.1,,52.9,44.6,82.2,3.6,69.8,80.2,95.9,33.4,88.1,88.1,,,50.8,40.5,14.3,97.6
2018,AT32,AT322,72.6,67.9,25.4,75.3,55.8,,85.1,3.4,71.1,79.4,99.0,34.8,44.6,,62.5,73.3,67.1,37.7,,96.5
2019,AT32,AT322,77.5,,23.6,78.5,29.2,43.5,85.0,,57.4,81.7,,33.0,76.2,88.7,63.7,,47.7,37.4,12.0,93.7
2020,AT32,AT322,75.5,67.4,21.1,80.3,68.1,44.6,,8.4,68.3,80.7,94.8,29.5,57.2,86.9,62.3,77.5,55.6,,14.7,96.5
2021,AT32,AT322,78.8,,23.5,81.0,50.2,48.4,89.7,8.0,68.2,80.4,95.8,28.3,57.6,88.5,63.0,78.8,47.3,32.0,14.3,95.5
2022,AT32,AT322,75.5,71.8,25.0,79.6,70.0,46.0,,5.9,68.1,81.5,94.7,28.2,56.2,88.5,,76.0,64.2,33.9,,94.5
2023,AT32,AT322,77.2,,,77.2,48.7,43.0,90.6,6.4,92.1,,92.1,,46.7,,67.3,73.9,46.0,37.7,7.4,92.8
2024,AT32,AT322,71.9,65.5,28.5,78.6,71.0,44.5,,2.5,66.3,81.0,92.6,25.4,79.3,91.7,66.9,,64.0,36.4,,91.6
2025,AT32,AT322,69.8,65.5,25.9,,5.7,,94.3,,66.8,84.1,89.1,27.1,62.0,92.7,,68.7,47.5,38.0,9.2,95.4
2026,AT32,AT322,74.2,69.1,,79.4,45.9,38.1,92.3,8.0,90.8,,90.8,,62.6,91.0,62.4,65.7,22.4,37.8,7.0,
2016,AT32,AT323,43.9,58.7,83.5,56.6,67.2,51.4,15.5,34.2,13.0,25.3,1.4,12.4,50.3,17.9,71.3,38.3,46.1,,61.7,30.5
2017,AT32,AT323,44.3,55.4,81.9,59.5,64.1,,,35.9,10.4,21.8,0.0,9.3,41.1,21.9,,39.7,33.2,37.3,,29.2
2018,AT32,AT323,35.3,53.1,82.4,,70.1,51.0,10.8,,9.8,23.1,0.0,6.4,66.7,,70.2,36.9,41.1,33.6,64.3,25.4
2019,AT32,AT323,35.4,52.9,82.1,,66.4,47.8,14.0,34.6,11.2,25.1,0.0,8.5,51.1,18.6,72.5,37.9,40.3,34.1,62.9,24.0
2020,AT32,AT323,46.5,55.8,78.3,61.9,76.3,,14.9,32.4,10.1,,,10.1,52.4,18.1,73.7,34.7,39.9,37.0,59.1,23.7
2021,AT32,AT323,58.9,,,58.9,66.2,50.1,17.6,,15.0,30.8,3.5,10.6,44.0,19.4,,31.3,45.5,35.4,55.5,
2022,AT32,AT323,43.3,,72.4,59.0,67.7,53.1,17.8,,17.8,28.4,7.3,,16.1,16.1,,,40.8,37.0,58.2,27.1
2023,AT32,AT323,47.8,59.9,76.0,59.6,69.1,55.7,18.1,30.2,17.9,31.6,4.1,,64.6,,,35.4,41.4,36.9,57.0,30.3
2024,AT32,AT323,62.1,61.9,,62.4,70.5,57.2,18.5,27.2,11.1,29.1,1.8,2.4,37.4,12.4,,37.7,40.4,34.0,58.9,28.4
2025,AT32,AT323,40.6,,78.5,59.7,67.5,55.6,20.6,,0.7,,,0.7,50.1,13.1,72.6,35.3,40.3,35.7,55.1,30.0
2026,AT32,AT323,44.8,57.9,79.7,56.2,82.5,,17.5,,9.9,24.6,3.5,1.5,48.0,9.9,70.8,36.6,33.1,35.6,,30.7
2016,AT33,AT331,61.5,61.5,,61.4,22.1,11.4,86.7,58.4,75.9,82.1,,69.8,77.6,84.7,97.4,49.4,71.3,71.3,,
2017,AT33,AT331,62.0,60.4,,63.6,20.5,8.9,89.9,57.5,50.3,78.3,22.3,,74.3,,95.0,46.4,72.3,73.0,56.1,87.8
2018,AT33,AT331,47.9,59.9,79.2,63.1,19.4,6.9,89.2,59.5,58.5,82.0,24.9,68.7,78.6,88.5,96.6,49.3,74.3,74.9,56.1,91.8
2019,AT33,AT331,18.4,,81.6,,27.3,,88.1,57.4,58.4,82.8,22.8,69.5,77.0,87.1,94.0,50.1,76.7,,59.5,93.9
2020,AT33,AT331,48.7,62.7,81.1,64.6,21.0,9.2,89.4,56.8,46.2,,20.5,72.0,75.3,86.9,93.2,54.1,74.4,69.7,62.5,91.1
2021,AT33,AT331,41.7,,81.4,64.8,23.2,9.7,86.1,54.0,55.2,86.8,23.6,,68.2,88.8,,52.4,73.2,66.2,59.6,93.9
2022,AT33,AT331,50.8,67.7,79.0,63.7,22.7,9.2,89.6,51.4,58.6,90.3,26.9,,88.8,86.9,90.7,,61.5,64.9,58.1,
2023,AT33,AT331,41.3,,78.2,60.9,26.7,,91.4,55.2,63.2,91.8,28.0,69.7,88.4,88.4,,,72.9,62.8,58.3,97.6
2024,AT33,AT331,48.4,66.3,79.2,58.1,26.0,6.7,,54.7,63.7,94.1,31.0,66.1,75.0,91.0,86.3,52.4,71.8,66.1,55.4,94.0
2025,AT33,AT331,47.8,62.7,78.8,59.6,30.9,,85.4,52.7,64.1,92.0,33.1,67.2,77.9,93.4,89.9,49.6,71.2,70.1,52.3,91.2
2026,AT33,AT331,47.9,66.7,80.9,58.0,20.1,1.1,87.3,53.4,64.3,92.4,32.4,68.2,76.6,91.0,86.8,47.9,70.4,73.6,48.7,89.0
2016,AT33,AT332,58.2,84.6,68.1,,52.0,31.0,49.5,25.5,48.6,87.2,1.6,56.9,41.5,,71.1,88.1,39.7,,33.5,45.9
2017,AT33,AT332,46.8,87.5,,6.0,53.3,32.5,50.5,22.2,49.7,84.1,5.4,59.6,20.6,28.1,,87.0,61.4,92.2,30.6,
2018,AT33,AT332,58.2,84.5,68.0,,53.7,29.6,,22.2,70.2,84.4,,56.0,23.5,31.2,,84.3,62.7,91.9,33.4,
2019,AT33,AT332,36.9,81.2,71.6,1.0,55.9,30.9,,19.1,66.2,80.4,,52.1,54.7,30.5,78.9,,59.2,94.6,32.9,50.0
2020,AT33,AT332,36.6,84.1,74.3,0.0,56.6,33.6,,20.4,65.2,77.3,,53.1,20.1,30.3,,90.1,46.2,,,46.2
2021,AT33,AT332,16.1,,71.5,3.6,82.2,,,17.8,46.0,74.7,8.4,54.8,42.4,30.3,83.2,86.4,55.4,88.3,34.4,43.4
2022,AT33,AT332,37.8,78.8,68.1,2.7,55.6,33.6,51.6,15.3,47.0,74.5,7.9,58.6,59.7,33.8,85.6,,53.7,89.2,32.4,39.5
2023,AT33,AT332,54.1,78.9,70.7,,36.7,36.7,,,48.8,76.0,8.9,61.4,46.2,32.6,88.4,82.3,63.2,91.5,34.9,
2024,AT33,AT332,35.0,77.1,72.0,0.0,45.4,36.5,45.8,,37.2,,11.2,63.3,46.8,34.2,89.4,83.2,58.0,95.1,33.6,45.4
2025,AT33,AT332,16.1,,71.6,3.7,58.0,37.0,49.0,14.1,36.4,,8.7,64.1,19.8,,,80.2,37.9,,33.6,42.1
2026,AT33,AT332,37.4,80.9,75.2,6.6,67.9,,51.7,12.5,35.8,,7.1,64.5,25.4,28.7,,78.0,55.0,94.0,30.3,40.6
2016,AT33,AT333,46.1,52.0,19.7,6.0,50.1,,49.9,,48.6,56.6,64.6,24.5,30.1,40.7,40.7,91.1,6.6,12.3,,0.8
2017,AT33,AT333,45.8,50.4,18.1,5.0,69.0,,49.3,12.7,43.0,59.8,,26.1,24.9,,40.6,90.7,20.3,9.4,50.9,0.5
2018,AT33,AT333,27.8,49.6,,6.0,80.0,69.1,,9.0,53.5,62.1,69.2,29.2,26.1,39.0,,86.7,22.1,9.9,52.3,4.0
2019,AT33,AT333,27.9,51.0,,4.8,69.6,67.1,52.2,6.2,45.4,61.9,,28.8,29.7,37.6,37.8,86.4,21.1,8.1,51.6,3.6
2020,AT33,AT333,45.9,51.4,14.9,1.2,69.5,65.7,52.1,5.2,68.0,63.7,72.2,,28.6,33.8,40.9,89.0,21.3,7.6,54.8,1.4
2021,AT33,AT333,45.1,49.8,16.8,2.4,67.1,66.4,55.9,9.1,69.2,64.5,73.9,,27.4,30.3,39.1,87.3,21.6,8.5,56.4,0.0
2022,AT33,AT333,46.0,51.7,13.8,0.0,55.2,69.0,58.5,,66.6,66.6,,,36.1,29.4,42.8,,23.6,12.2,58.5,0.0
2023,AT33,AT333,45.8,55.0,17.7,0.0,68.3,67.9,55.7,7.4,69.0,66.6,71.4,,28.4,28.0,44.2,87.1,31.1,,58.8,3.4
2024,AT33,AT333,45.7,51.1,16.0,1.9,67.4,64.7,52.7,9.7,48.5,66.3,,30.7,25.8,,42.2,90.6,7.2,12.2,,2.3
2025,AT33,AT333,46.0,49.3,12.7,1.5,68.4,66.4,54.4,6.8,65.9,65.9,,,26.1,,42.6,90.5,36.6,10.9,62.3,
2026,AT33,AT333,27.4,49.5,,5.4,70.0,69.0,51.4,7.5,54.1,65.5,70.3,26.4,26.2,24.9,44.9,91.3,29.9,,58.9,0.9
2016,AT33,AT334,74.7,,25.3,,61.5,33.4,29.5,19.4,52.0,58.6,45.4,,50.5,,,49.5,14.9,,,14.9
2017,AT33,AT334,41.9,42.6,25.8,8.8,62.4,35.8,28.6,20.0,56.1,60.0,47.7,60.7,54.6,82.2,29.2,47.6,46.4,61.5,31.3,
2018,AT33,AT334,40.9,43.2,25.4,5.0,76.8,,25.4,21.1,52.5,56.5,44.0,57.1,56.8,85.7,31.6,46.8,35.6,61.2,33.8,11.9
2019,AT33,AT334,40.4,43.2,28.9,6.9,76.7,,27.4,19.2,56.6,56.6,,,58.0,89.5,34.6,50.2,36.6,60.5,35.3,13.9
2020,AT33,AT334,41.4,43.6,30.0,10.7,66.2,42.5,25.3,18.6,49.3,59.3,37.8,50.9,60.0,93.5,37.4,50.9,36.7,62.9,33.5,13.7
2021,AT33,AT334,40.5,44.9,33.5,10.1,66.0,44.6,26.1,20.4,48.7,62.2,35.6,48.3,68.8,96.6,41.1,,36.8,61.4,35.1,13.8
2022,AT33,AT334,38.4,,29.9,6.7,45.6,45.6,,,56.5,61.6,,51.4,44.2,,44.2,,27.6,,39.1,16.1
2023,AT33,AT334,56.8,46.9,33.4,,64.2,46.2,,17.9,59.2,59.2,,,65.1,96.1,41.9,42.6,30.6,,43.1,18.2
2024,AT33,AT334,38.8,47.4,32.9,2.0,78.6,,22.6,20.3,54.3,56.8,,51.9,46.5,,38.6,45.5,32.5,,45.1,20.0
2025,AT33,AT334,22.2,43.9,,0.5,61.3,39.4,,16.8,48.9,60.1,34.2,52.3,63.5,96.7,38.4,44.7,52.0,57.0,47.0,
2026,AT33,AT334,40.9,40.9,,,53.9,35.7,28.0,,49.7,,,49.7,65.2,99.1,39.7,43.1,36.1,,50.3,22.0
2016,AT33,AT335,26.4,1.0,39.1,17.2,45.3,14.3,45.8,32.6,15.3,14.0,,16.7,27.7,21.9,33.5,,33.3,38.1,28.5,
2017,AT33,AT335,28.1,3.5,39.4,20.1,30.9,10.8,49.1,,74.8,,74.8,,30.4,20.3,34.4,63.4,45.2,36.7,28.1,70.8
2018,AT33,AT335,19.4,,,19.4,31.7,10.0,46.6,,35.4,19.3,73.9,12.9,30.3,21.1,35.1,65.3,45.3,36.2,29.2,70.5
2019,AT33,AT335,10.8,4.9,,16.7,45.1,12.5,47.1,30.2,33.5,16.7,72.4,11.5,31.8,25.0,34.2,63.9,43.2,32.2,27.4,70.1
2020,AT33,AT335,27.8,4.3,34.4,13.6,45.5,12.7,46.2,29.9,12.0,,,12.0,29.9,21.8,,62.1,69.1,,,69.1
2021,AT33,AT335,28.6,5.8,34.0,13.9,46.6,16.0,49.8,26.5,28.0,9.6,64.8,9.5,30.7,22.1,33.2,63.2,42.7,31.8,26.3,69.9
2022,AT33,AT335,27.2,5.0,37.2,13.7,47.7,19.0,47.7,28.1,37.5,8.0,67.0,,31.5,26.0,33.9,65.3,42.0,29.3,30.1,66.5
2023,AT33,AT335,27.9,7.2,33.9,10.3,49.3,,50.7,,28.3,8.3,69.1,7.5,31.6,28.8,,65.5,41.1,30.4,29.3,63.6
2024,AT33,AT335,10.7,7.5,,13.9,45.1,19.3,,29.1,30.3,7.4,72.5,11.0,30.9,26.2,35.7,69.3,39.2,27.5,26.6,63.4
2025,AT33,AT335,11.4,6.1,,16.8,45.1,21.2,,31.1,27.8,4.0,71.5,8.0,29.7,29.9,,70.5,43.4,,26.1,60.6
2026,AT33,AT335,37.4,2.3,27.4,,45.8,19.5,48.2,33.9,6.1,6.1,,,33.9,30.7,39.8,68.8,40.0,21.8,,58.1
2016,AT34,AT341,35.6,40.9,69.7,,62.5,,37.8,37.1,74.3,61.8,85.7,75.3,16.9,,0.2,66.5,72.2,86.5,58.0,
2017,AT34,AT341,54.8,37.2,70.9,98.1,59.8,,,40.2,76.2,63.1,88.9,76.6,15.5,,0.0,68.9,77.9,83.9,60.4,89.4
2018,AT34,AT341,56.3,40.6,69.0,97.2,62.0,64.8,34.7,44.2,76.8,62.9,90.8,,14.9,,0.3,70.5,88.5,83.8,,93.2
2019,AT34,AT341,55.6,39.7,68.6,95.7,58.5,63.8,,46.7,75.7,62.2,89.2,,31.3,62.0,3.1,71.3,79.5,82.9,64.9,90.6
2020,AT34,AT341,55.1,40.2,70.0,95.0,65.1,65.4,35.2,,73.7,59.7,86.8,74.5,47.0,63.9,,69.8,79.5,86.8,64.6,87.0
2021,AT34,AT341,55.9,37.8,68.0,98.0,58.3,63.0,36.6,51.5,67.7,63.6,,71.8,31.6,63.0,5.5,73.7,80.3,88.1,61.9,90.8
2022,AT34,AT341,68.5,37.3,,99.8,58.9,60.5,33.4,50.5,84.1,,84.1,,16.8,,4.4,70.7,75.5,,59.0,92.0
2023,AT34,AT341,27.6,,72.4,,62.4,64.1,29.9,47.0,74.1,69.8,,78.4,31.9,64.6,5.8,74.7,93.8,94.8,,92.7
2024,AT34,AT341,31.8,38.6,75.1,,62.0,63.7,31.9,45.8,78.0,65.9,87.6,80.5,33.1,67.4,8.2,76.4,83.5,95.2,58.9,96.5
2025,AT34,AT341,56.3,40.4,71.2,99.8,63.8,,28.0,44.4,76.9,64.8,87.6,78.3,34.0,69.9,8.4,76.2,76.8,,56.1,97.5
2026,AT34,AT341,55.2,40.5,73.4,98.6,64.6,63.7,28.7,41.2,74.1,61.2,84.6,76.4,67.7,67.7,,,81.9,95.3,53.8,96.7
2016,AT34,AT342,86.8,86.5,6.3,80.1,72.3,69.5,40.0,12.5,27.7,70.0,5.3,7.9,54.4,71.4,37.3,,43.5,10.9,,76.1
2017,AT34,AT342,85.1,87.7,9.6,77.1,74.5,69.7,36.7,9.4,29.9,72.9,7.1,9.7,53.6,73.0,34.2,,51.5,10.4,70.0,74.1
2018,AT34,AT342,82.7,85.9,12.0,74.1,76.4,73.6,34.7,9.8,32.5,73.3,10.9,13.3,51.2,75.0,37.5,59.0,52.2,13.1,72.1,71.3
2019,AT34,AT342,87.1,87.1,,,69.2,72.4,34.1,,32.5,74.2,12.6,10.6,54.2,73.0,35.5,,73.3,,75.2,71.4
2020,AT34,AT342,81.0,86.0,12.0,69.0,76.5,72.7,35.7,7.4,8.8,,10.6,7.1,50.9,74.9,35.8,58.1,75.2,,75.2,
2021,AT34,AT342,80.7,,8.2,69.5,,,,,10.2,,11.5,9.0,41.1,,37.9,55.6,52.9,8.7,78.6,71.5
2022,AT34,AT342,81.1,79.7,8.6,72.3,76.5,67.2,32.6,5.0,33.7,78.4,13.2,9.4,63.3,81.1,,54.4,54.4,7.6,81.3,74.4
2023,AT34,AT342,74.1,79.6,,68.6,81.2,,34.5,3.2,10.0,,10.7,9.3,55.4,84.1,33.2,51.2,56.5,10.6,80.4,78.4
2024,AT34,AT342,80.7,81.0,11.4,72.4,80.8,67.7,,6.2,13.4,,14.6,12.3,54.9,84.3,31.5,51.1,54.0,8.2,77.3,76.4
2025,AT34,AT342,76.8,81.1,,72.4,73.7,65.2,40.1,4.0,37.1,78.2,17.0,16.0,57.2,85.2,29.2,,40.0,5.7,74.2,
2026,AT34,AT342,79.9,,11.5,71.3,81.8,63.6,,0.1,48.7,81.9,,15.4,56.4,86.1,31.1,47.9,36.2,2.0,70.4,
2016,BE10,BE100,99.0,99.0,,,67.4,87.7,68.5,17.1,61.1,61.1,,,82.2,,,17.8,50.8,72.1,,29.5
2017,BE10,BE100,78.1,100.0,7.2,41.5,57.5,,71.5,13.5,30.3,59.7,27.6,3.5,82.0,,,18.0,64.1,74.4,53.7,
2018,BE10,BE100,77.7,99.4,4.9,38.5,59.2,93.8,75.3,,1.5,,,1.5,87.9,94.6,,18.8,51.9,74.2,,29.5
2019,BE10,BE100,78.6,100.0,4.7,40.4,72.4,97.6,72.6,7.7,31.9,58.7,32.1,4.8,85.7,93.3,84.0,20.2,53.1,70.7,55.4,33.3
2020,BE10,BE100,75.4,96.7,8.0,37.4,60.2,,74.6,4.9,45.3,61.3,29.3,,85.2,,85.2,,54.6,71.3,56.0,36.6
2021,BE10,BE100,75.5,93.1,4.8,38.1,59.1,,73.7,8.0,30.6,59.1,27.2,5.4,87.8,92.6,83.0,,55.0,75.0,55.4,34.5
2022,BE10,BE100,77.2,92.4,2.3,41.4,62.0,100.0,75.9,,62.8,62.8,,,82.9,,,17.1,73.2,73.2,,
2023,BE10,BE100,92.5,90.9,5.9,,71.8,100.0,75.1,9.6,60.2,60.2,,,89.0,92.9,85.1,,53.6,69.9,57.5,33.5
2024,BE10,BE100,93.6,92.0,4.8,,70.4,96.5,73.3,11.9,37.0,64.0,,9.9,87.4,92.5,88.2,18.4,54.7,73.9,59.5,30.6
2025,BE10,BE100,69.2,,3.2,41.7,70.7,95.9,70.8,13.0,46.0,64.3,27.8,,88.5,89.8,90.8,15.2,66.2,71.4,61.1,
2026,BE10,BE100,72.5,,0.0,45.1,73.4,99.4,68.1,11.0,34.4,68.1,25.3,9.7,84.6,,87.7,18.5,55.1,70.5,59.0,35.9
2016,BE21,BE211,19.9,7.9,68.0,,53.7,,58.7,33.9,74.8,93.4,84.5,46.6,29.2,3.1,83.1,98.6,48.7,42.0,11.3,92.7
2017,BE21,BE211,18.4,4.5,,32.4,69.2,98.2,57.8,32.8,67.9,,88.1,47.7,27.9,3.9,79.8,100.0,25.5,42.4,8.7,
2018,BE21,BE211,22.9,5.1,71.4,35.0,68.2,98.7,58.5,35.6,50.9,,,50.9,83.0,,83.0,,45.6,39.7,8.1,89.1
2019,BE21,BE211,16.8,7.6,74.0,,100.0,100.0,,,75.7,87.8,88.6,50.6,40.9,,81.7,100.0,44.6,38.7,5.5,89.7
2020,BE21,BE211,28.6,,77.4,34.7,66.2,96.4,59.6,38.1,67.9,,88.6,47.3,3.4,5.3,,98.5,43.3,37.5,6.3,86.0
2021,BE21,BE211,19.1,2.3,,35.9,51.5,,56.8,40.3,65.6,81.9,,49.2,42.9,4.7,81.0,,62.7,41.1,,84.3
2022,BE21,BE211,27.2,,79.1,33.5,67.5,98.4,56.5,39.4,86.9,84.1,89.7,,29.6,4.5,79.8,95.4,44.8,44.9,5.7,83.7
2023,BE21,BE211,19.4,6.2,78.5,30.4,65.9,94.5,59.6,37.1,82.2,82.2,,,4.2,0.9,,92.6,45.2,45.5,8.5,81.5
2024,BE21,BE211,19.7,7.8,75.8,27.0,43.7,,56.3,,77.4,82.0,92.2,58.0,41.4,3.8,79.0,,25.8,41.6,10.0,
2025,BE21,BE211,20.4,,79.6,,66.8,91.7,58.0,,74.5,,93.4,55.6,31.8,7.4,80.5,92.4,44.6,44.1,9.5,80.1
2026,BE21,BE211,18.8,5.5,79.8,30.6,53.5,,61.1,31.8,68.6,83.0,,54.2,30.2,8.9,77.8,96.2,41.9,40.2,7.8,77.7
2016,BE21,BE212,29.7,28.4,82.9,43.7,73.7,,37.5,15.2,42.2,28.1,,56.2,21.2,32.7,,90.3,56.3,,81.9,30.7
2017,BE21,BE212,30.3,31.4,85.3,44.7,59.0,31.0,36.0,18.1,46.5,27.2,57.0,55.3,18.8,31.8,,94.2,51.6,41.7,79.4,33.7
2018,BE21,BE212,29.7,29.5,85.9,45.4,59.2,32.0,39.3,15.0,47.9,27.9,59.6,56.1,,,,,51.0,41.9,76.2,34.9
2019,BE21,BE212,30.3,32.2,82.9,41.6,59.5,33.1,41.8,12.7,49.0,30.0,60.8,56.3,30.7,30.7,,,58.2,42.5,73.9,
2020,BE21,BE212,31.3,34.6,84.0,43.3,61.2,33.7,,11.3,28.5,28.5,,,28.8,,55.7,98.1,51.2,43.8,74.6,35.1
2021,BE21,BE212,30.9,33.9,87.8,46.7,62.0,30.5,35.3,9.1,48.5,30.9,63.3,51.3,55.3,,55.3,,61.2,47.6,74.8,
2022,BE21,BE212,30.0,31.8,85.2,43.3,78.2,,32.7,10.9,43.4,34.5,,52.2,33.2,38.5,58.1,96.9,56.4,,77.7,35.0
2023,BE21,BE212,29.7,35.0,88.4,42.4,,,,,56.1,,56.9,55.3,20.9,41.8,,100.0,55.3,48.0,79.8,38.2
2024,BE21,BE212,30.0,34.3,88.5,44.3,27.9,27.9,,,56.9,,55.5,58.2,21.8,40.1,,96.6,,,,
2025,BE21,BE212,26.6,,88.0,41.3,87.6,,,12.4,57.8,,57.8,,35.1,42.8,57.8,95.2,54.9,,77.9,31.9
2026,BE21,BE212,34.2,27.6,,40.9,59.7,29.4,34.2,16.0,47.8,38.9,56.7,,34.9,42.0,58.7,96.1,42.3,42.3,,
2016,BE21,BE213,52.0,64.9,10.1,1.3,41.0,30.5,65.9,41.7,48.3,80.0,8.1,56.7,40.2,24.3,6.1,9.7,68.1,74.2,90.7,39.4
2017,BE21,BE213,52.0,66.8,12.0,1.1,41.2,32.4,63.0,45.7,46.6,76.1,5.9,57.7,41.7,24.4,8.0,7.3,58.6,74.6,,42.7
2018,BE21,BE213,85.0,,15.0,,41.6,32.0,63.0,44.2,45.4,72.4,5.7,58.1,51.2,,9.4,7.1,69.0,,94.1,43.9
2019,BE21,BE213,43.5,,13.1,0.0,44.1,33.9,61.0,40.5,44.1,70.7,4.5,57.1,50.8,,11.3,9.8,70.5,72.7,95.9,42.9
2020,BE21,BE213,51.0,63.8,10.7,0.0,44.7,37.8,62.9,40.7,39.2,71.4,7.0,,56.4,22.2,,9.4,70.3,74.0,94.1,42.7
2021,BE21,BE213,43.5,,13.0,0.0,33.3,,66.7,,33.9,,8.1,59.6,40.0,20.5,5.3,5.8,98.0,,98.0,
2022,BE21,BE213,44.8,,11.8,1.4,43.3,35.8,65.6,40.3,56.7,,,56.7,40.7,22.5,2.5,2.8,73.0,77.6,96.9,44.6
2023,BE21,BE213,34.5,64.7,,4.2,42.4,34.7,67.6,39.8,60.9,65.6,,56.2,,,,,89.3,78.9,99.7,
2024,BE21,BE213,64.2,64.2,,,47.7,,65.2,39.4,43.2,66.9,8.0,54.7,57.4,20.8,,5.9,88.8,78.0,99.7,
2025,BE21,BE213,76.4,65.6,12.8,,39.2,29.6,68.8,43.1,32.1,,6.1,58.2,36.8,16.8,2.2,8.5,89.0,79.6,98.5,
2026,BE21,BE213,66.8,66.8,,,38.7,31.3,69.9,45.4,60.4,60.9,,59.9,19.3,19.3,,,73.7,,100.0,47.4
2016,BE22,BE223,,,,,33.1,33.1,,,49.4,69.5,,29.3,33.8,65.0,2.6,,10.9,12.4,12.7,7.7
2017,BE22,BE223,54.0,49.7,41.7,,49.5,30.9,31.9,,36.8,68.9,4.7,,36.8,64.6,3.5,57.8,7.3,,,7.3
2018,BE22,BE223,40.7,,42.3,23.6,49.0,34.4,30.6,56.9,33.7,68.3,2.1,30.7,36.7,61.5,6.6,58.0,9.9,11.5,10.9,7.4
2019,BE22,BE223,47.0,56.1,39.9,24.7,50.6,37.8,32.7,53.2,31.4,65.4,0.0,28.8,44.7,,,55.3,8.9,9.6,11.8,5.3
2020,BE22,BE223,62.1,,37.9,,60.4,,29.8,49.5,31.8,64.9,0.0,30.4,51.7,57.8,,54.4,6.4,7.0,8.2,3.9
2021,BE22,BE223,59.2,55.9,37.4,,43.9,37.4,,49.6,33.2,68.1,1.2,30.4,29.7,,15.8,56.4,4.9,6.7,5.1,2.9
